,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),43,3,0,0,1,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (30km/h),26,614,31,1,8,11,0,14,4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0
Speed limit (50km/h),1,36,590,44,5,42,3,21,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Speed limit (60km/h),2,1,4,305,0,109,0,5,1,3,1,1,0,1,1,0,0,3,0,0,1,1,0,1,0,0,0,0,1,2,0,0,2,1,2,0,2,0,0,0,0,0,0
Speed limit (70km/h),12,13,8,5,545,31,1,19,3,0,5,1,0,0,0,2,0,2,0,2,0,0,0,0,0,1,3,0,0,0,0,0,1,0,3,0,0,0,1,1,0,1,0
Speed limit (80km/h),0,28,15,15,19,483,1,48,1,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,3
End of speed limit (80km/h),0,0,0,0,0,9,133,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1
Speed limit (100km/h),0,1,4,5,12,7,0,403,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Speed limit (120km/h),0,0,2,3,5,8,0,148,262,4,4,0,0,0,0,3,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
No passing,0,0,1,4,0,1,0,0,0,462,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No passing for vehicles over 3.5 metric tons,0,0,0,0,0,0,0,3,0,0,649,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Right-of-way at the next intersection,0,0,0,1,0,0,0,4,0,0,0,359,0,0,0,0,2,0,1,0,0,0,0,23,0,0,0,0,0,9,14,0,1,0,2,0,0,0,0,0,0,1,3
Priority road,0,6,0,4,2,0,0,0,0,1,3,2,618,1,0,4,1,0,0,0,0,0,0,3,0,0,2,0,0,7,8,0,10,0,5,5,0,0,0,0,2,4,2
Yield,0,0,0,2,0,0,0,0,0,0,1,0,0,691,0,7,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,2,0,1,4,0,0,2,2,0,0,0
Stop,0,0,0,14,0,5,0,0,0,4,1,0,0,0,200,2,1,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,18,0,6,0,0,0,0,3,0,0,0
No vehicles,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Vehicles over 3.5 metric tons prohibited,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No entry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,1,0,1,0,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
General caution,0,1,0,0,0,0,3,2,0,0,3,1,0,1,0,1,0,2,222,11,1,0,2,6,13,16,58,9,1,19,1,6,0,0,6,0,0,1,0,0,0,4,0
Dangerous curve to the left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Dangerous curve to the right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0
Double curve,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,52,0,4,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,6,0
Bumpy road,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,93,5,1,1,2,0,0,1,2,3,0,0,2,0,0,0,0,1,0,0,0
Slippery road,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,132,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0
Road narrows on the right,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,67,0,1,0,1,2,2,0,1,1,0,0,0,0,0,0,5,0,0
Road work,0,0,1,0,0,0,0,0,0,0,1,23,1,0,0,0,2,0,0,0,0,2,0,0,0,443,0,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0
Traffic signals,0,0,0,0,0,0,0,6,0,1,2,1,0,0,0,0,0,0,2,0,2,1,0,2,2,3,148,0,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0
Pedestrians,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,11,0,0,1,0,3,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Children crossing,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,1,0,0,0,118,13,2,0,0,0,0,0,0,0,0,0,0,0,0
Bicycles crossing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0
Beware of ice/snow,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,4,2,0,13,5,0,1,2,0,4,105,6,0,0,2,0,0,0,0,0,0,0,0
Wild animals crossing,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,1,0,0,0,0,0,0,1,258,0,0,0,0,0,0,0,0,0,0,0
End of all speed and passing limits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
Turn right ahead,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,1,1,0,0,0,0,2,0
