,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),8,38,5,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Speed limit (30km/h),98,434,45,0,0,5,0,0,46,0,4,0,0,2,0,61,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,9,0,0
Speed limit (50km/h),68,320,100,0,0,6,0,0,160,1,2,0,0,0,1,46,3,3,0,0,4,0,0,3,0,0,0,0,0,0,0,3,0,11,0,0,0,3,0,0,16,0,0
Speed limit (60km/h),24,182,33,2,0,22,3,2,69,0,39,0,0,7,2,10,10,5,0,0,7,0,1,0,4,0,0,0,0,0,0,4,0,4,0,0,0,1,0,0,18,0,1
Speed limit (70km/h),21,242,55,0,0,8,10,4,202,0,5,0,0,6,10,9,2,8,0,0,27,0,2,1,4,2,0,0,2,1,0,4,0,10,0,0,0,3,1,0,21,0,0
Speed limit (80km/h),34,325,44,2,0,9,2,1,109,0,15,0,0,6,0,11,6,5,0,0,24,0,0,4,1,1,0,0,2,1,0,4,1,4,0,0,0,4,0,0,14,1,0
End of speed limit (80km/h),0,11,2,0,0,1,35,0,17,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,7,33,29
Speed limit (100km/h),7,205,63,0,0,14,1,0,118,0,8,0,0,0,0,5,0,1,0,0,5,0,0,1,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,13,0,0
Speed limit (120km/h),22,185,68,0,0,19,1,3,95,0,4,0,0,1,1,3,4,3,0,0,16,0,0,4,1,0,0,2,3,6,0,3,0,0,0,0,0,1,0,0,4,0,1
No passing,6,9,10,1,0,1,0,3,47,136,96,0,0,4,7,3,48,9,0,0,7,0,1,3,0,1,0,0,0,1,0,1,0,10,0,0,0,11,0,0,62,2,1
No passing for vehicles over 3.5 metric tons,8,32,11,10,0,34,1,0,31,5,323,0,2,3,5,8,7,13,0,0,38,0,13,6,2,1,0,0,4,3,0,7,2,46,0,0,0,11,0,0,34,0,0
Right-of-way at the next intersection,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3,0,0,30,0,1,89,127,41,0,1,1,6,0,69,0,6,0,0,0,8,1,0,32,0,1
Priority road,0,3,0,0,0,0,30,2,7,5,2,5,310,0,1,12,4,57,0,0,30,0,1,8,12,0,0,0,12,9,10,29,15,17,1,0,0,3,22,0,78,1,4
Yield,0,0,0,0,0,1,0,1,3,0,5,0,0,668,7,0,3,4,0,0,10,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0
Stop,1,12,7,0,0,0,0,0,36,0,0,0,0,0,101,3,0,19,0,0,7,0,3,0,5,0,0,0,0,0,0,3,0,16,0,0,0,4,0,0,53,0,0
No vehicles,3,15,0,0,0,0,0,4,14,0,0,0,0,0,0,151,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicles over 3.5 metric tons prohibited,1,2,7,0,0,0,0,3,12,9,16,0,0,2,0,2,89,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
No entry,0,0,1,0,0,0,0,0,12,4,3,0,0,5,18,0,2,276,0,0,12,0,2,0,1,3,0,1,0,4,0,6,3,0,0,0,0,0,1,0,5,1,0
