,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),3,55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (30km/h),19,659,20,0,8,0,0,1,3,0,1,0,0,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (50km/h),0,98,577,1,47,1,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Speed limit (60km/h),0,4,0,381,0,36,5,2,8,0,2,0,0,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (70km/h),20,80,1,2,517,5,0,6,12,1,0,0,0,2,0,3,0,0,1,1,1,0,0,0,3,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Speed limit (80km/h),0,14,53,24,10,446,2,35,29,2,4,2,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
End of speed limit (80km/h),0,8,0,0,0,7,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,6
Speed limit (100km/h),0,5,5,2,2,8,0,351,73,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (120km/h),8,2,1,1,19,3,0,8,393,2,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
No passing,0,4,1,12,0,3,0,0,2,454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No passing for vehicles over 3.5 metric tons,0,1,0,5,1,7,0,3,0,0,622,0,0,0,0,0,0,1,0,0,11,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1
Right-of-way at the next intersection,0,0,0,0,0,0,0,1,0,0,0,350,1,0,0,0,0,0,7,0,0,1,0,8,1,0,1,22,2,1,24,0,1,0,0,0,0,0,0,0,0,0,0
Priority road,0,15,3,0,13,0,0,1,0,0,2,1,620,1,9,0,0,0,0,0,3,0,0,0,0,0,6,0,0,3,1,0,0,0,0,2,3,0,7,0,0,0,0
Yield,0,1,0,1,0,4,0,0,1,1,0,0,0,691,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0
Stop,0,0,0,1,0,0,0,0,0,0,0,0,0,0,268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
