,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),33,2,2,2,11,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Speed limit (30km/h),7,540,69,7,37,35,2,0,2,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0
Speed limit (50km/h),1,29,515,11,24,122,0,1,3,8,0,0,1,13,0,9,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0
Speed limit (60km/h),0,0,14,176,0,201,1,0,1,10,0,0,0,8,1,16,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,4,9,0,0,0,0,0,0,3,0
Speed limit (70km/h),13,7,14,19,535,26,2,0,4,1,1,1,2,7,0,6,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,5,9,0,0,1,1,2,0,0,0
Speed limit (80km/h),0,13,54,36,83,362,5,0,2,1,9,2,1,14,1,10,0,5,0,4,1,5,0,0,1,8,0,0,0,1,0,0,0,3,7,0,0,0,0,1,0,1,0
End of speed limit (80km/h),0,0,0,17,1,10,110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1,0
Speed limit (100km/h),0,4,58,13,48,46,1,144,69,3,4,1,2,1,0,23,0,4,0,0,0,1,0,5,0,1,2,2,0,0,1,0,0,1,13,0,0,0,0,2,0,0,1
Speed limit (120km/h),0,0,16,8,30,17,0,9,323,3,4,0,2,10,0,11,0,4,0,0,0,0,1,1,2,1,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0
No passing,1,0,0,7,0,0,0,0,0,443,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
