,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (30km/h),37,548,80,1,28,10,1,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Speed limit (50km/h),1,22,634,12,9,49,2,9,2,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Speed limit (60km/h),2,3,2,347,0,80,0,0,0,0,1,0,0,1,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
Speed limit (70km/h),23,2,2,5,560,19,0,7,20,0,0,0,0,4,0,0,8,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
Speed limit (80km/h),1,5,58,7,11,513,0,12,8,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0
End of speed limit (80km/h),1,0,0,0,1,6,123,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,2
Speed limit (100km/h),1,0,2,1,13,19,0,379,29,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (120km/h),15,0,0,2,5,10,0,18,384,0,1,1,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,3,0,2,2,0,1,0,0,0,0,0,0,0,0
No passing,0,0,0,11,0,1,0,0,0,459,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No passing for vehicles over 3.5 metric tons,0,0,1,4,1,9,0,0,0,5,631,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
Right-of-way at the next intersection,1,4,1,0,0,5,0,0,0,0,0,351,1,0,0,0,7,0,4,1,0,0,0,8,3,7,3,15,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0
Priority road,0,1,2,0,0,2,1,3,0,0,0,1,649,2,0,15,0,0,1,1,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,1
Yield,2,0,0,0,0,0,0,0,0,0,0,0,1,714,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stop,0,0,0,0,0,0,0,0,0,0,0,0,2,0,262,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No vehicles,0,0,3,3,0,9,0,0,0,0,0,0,0,1,0,193,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicles over 3.5 metric tons prohibited,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No entry,4,13,0,0,1,4,5,0,1,2,0,1,16,2,0,2,0,303,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
General caution,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,302,0,0,1,3,0,17,3,17,28,3,1,0,5,2,0,0,0,0,0,0,0,0,1,0
Dangerous curve to the left,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,30,0,4,0,0,3,0,2,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
