,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),48,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Speed limit (30km/h),1,535,163,5,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0
Speed limit (50km/h),4,94,602,38,0,4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Speed limit (60km/h),1,2,17,380,0,19,5,2,1,0,4,0,0,1,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,2,0,5,1,0,0,4,0,0,0,0,0,0,0
Speed limit (70km/h),82,204,79,22,180,7,25,7,14,0,2,0,0,0,0,2,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,15,0,1,11,2,0,0,0
Speed limit (80km/h),1,46,326,96,1,99,4,23,8,0,7,1,1,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,1,5,2,0,0,1,0,0,1,0,0,0,0
End of speed limit (80km/h),1,15,1,6,0,0,121,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Speed limit (100km/h),0,13,39,52,0,15,3,277,19,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,2,1,1,7,3,0,0
Speed limit (120km/h),11,7,5,10,3,10,4,67,242,1,2,0,2,0,0,3,0,0,2,2,9,0,2,2,1,3,1,0,0,0,0,0,0,0,0,37,0,0,9,8,7,0,0
No passing,1,0,1,16,0,0,2,0,2,400,3,1,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,18,3,0,6,0,18,0,0
