,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),43,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (30km/h),3,681,19,1,7,1,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (50km/h),0,16,713,3,9,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (60km/h),0,0,1,412,0,28,0,0,1,1,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (70km/h),0,34,13,3,575,17,0,11,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Speed limit (80km/h),0,2,48,6,0,552,0,5,13,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
End of speed limit (80km/h),0,0,0,0,0,4,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,10,0,0,3,11
Speed limit (100km/h),0,0,5,1,1,34,0,358,46,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (120km/h),0,7,3,2,2,3,0,8,421,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No passing,0,0,0,1,0,0,0,0,0,476,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
No passing for vehicles over 3.5 metric tons,0,0,0,3,0,18,0,2,0,2,628,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Right-of-way at the next intersection,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,7,0,1,0,1,3,3,0,0,2,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Priority road,0,1,8,0,0,0,0,0,0,0,0,3,653,0,2,5,0,0,1,0,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,2,0,7,0,0,0,1
Yield,1,0,0,0,0,0,0,0,1,0,1,0,0,713,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No vehicles,0,0,6,0,5,0,0,0,2,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicles over 3.5 metric tons prohibited,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No entry,0,0,0,0,20,0,0,0,0,0,0,0,1,2,3,0,0,333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General caution,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,332,0,0,0,0,0,3,0,9,21,20,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Dangerous curve to the left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
Dangerous curve to the right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,76,0,0,7,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Double curve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,48,0,3,0,0,0,0,0,0,0,4,0,0,0,0,8,0,5,0,0,3,14
