,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),43,11,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed limit (30km/h),17,487,101,39,26,29,1,7,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,1,1
Speed limit (50km/h),2,34,489,11,12,163,8,5,1,0,2,0,1,0,0,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,5
Speed limit (60km/h),0,10,4,309,11,87,1,1,2,0,1,0,4,1,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,5,1,0,0,0,0,0,2
Speed limit (70km/h),40,60,18,38,378,52,2,26,2,0,0,0,4,0,0,8,2,0,1,1,1,1,0,1,0,0,0,1,0,0,1,3,3,3,1,4,2,0,0,0,0,5,2
Speed limit (80km/h),0,46,73,81,28,347,4,13,6,0,2,0,5,2,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,3,6,0,1,1,1,0,0,0,0,0,3
End of speed limit (80km/h),0,2,0,10,1,3,110,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,1,1,0,1,0,1,0,2
Speed limit (100km/h),2,5,4,14,15,63,0,297,14,0,2,1,6,0,0,1,2,0,1,0,0,1,0,1,1,0,0,0,0,0,6,3,10,0,0,0,1,0,0,0,0,0,0
Speed limit (120km/h),12,0,3,7,27,10,1,80,258,0,4,0,1,6,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,9,1,0,2,0,0,2,0,8,0,0
No passing,10,0,2,21,0,0,0,2,1,353,1,0,9,3,1,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,0,0,0,0,0,0,0
