,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),18,7,4,0,17,6,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Speed limit (30km/h),3,560,110,0,20,8,1,7,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,2
Speed limit (50km/h),0,11,716,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Speed limit (60km/h),0,0,56,349,3,23,0,6,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0
Speed limit (70km/h),0,27,18,0,570,13,0,15,3,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,1
Speed limit (80km/h),3,12,180,28,10,363,2,14,4,2,2,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
End of speed limit (80km/h),0,1,3,1,2,6,126,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3
Speed limit (100km/h),0,0,11,15,13,40,0,340,23,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Speed limit (120km/h),0,1,9,0,12,13,0,19,373,1,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No passing,0,0,3,13,0,0,0,0,0,427,0,1,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0
No passing for vehicles over 3.5 metric tons,0,0,0,0,2,17,0,2,3,26,590,0,0,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12
Right-of-way at the next intersection,0,1,0,0,0,0,0,1,1,0,0,364,0,0,0,0,1,0,0,2,0,1,0,3,1,0,5,2,1,0,35,0,0,0,1,0,0,0,0,0,0,1,0
Priority road,0,0,2,2,0,0,1,0,0,0,1,2,627,0,1,19,0,0,1,1,0,0,0,1,2,0,2,0,0,2,1,0,3,1,0,6,2,3,1,0,1,8,0
Yield,0,0,0,0,0,0,0,2,3,0,0,0,0,702,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,1,0,2,0
Stop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No vehicles,0,0,13,0,0,5,0,0,1,4,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vehicles over 3.5 metric tons prohibited,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No entry,1,0,8,2,5,0,0,0,0,0,0,0,5,0,3,5,0,319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,0,0,0,0
General caution,1,2,0,0,0,1,1,0,0,0,1,5,0,0,0,3,0,0,272,5,1,7,6,0,17,11,7,6,8,9,0,15,0,0,1,2,1,2,1,1,3,1,0
Dangerous curve to the left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,14,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Dangerous curve to the right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,4,0,0,0,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Double curve,0,12,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,1,0,37,0,3,0,0,0,3,1,0,0,11,0,0,1,0,0,4,0,1,0,0,0
Bumpy road,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,109,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Slippery road,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,5,0,116,0,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,0,1,0
Road narrows on the right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,62,0,0,2,0,10,3,5,0,0,3,1,0,0,0,0,0,0,0
Road work,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,5,0,0,2,0,3,2,416,1,7,1,3,1,11,0,0,0,0,0,2,0,1,0,0,0
Traffic signals,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,9,1,1,0,5,5,129,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0
