,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
Speed limit (20km/h),41,10,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Speed limit (30km/h),10,649,21,0,5,16,0,12,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Speed limit (50km/h),7,23,694,1,1,2,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Speed limit (60km/h),0,0,0,363,0,73,1,5,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Speed limit (70km/h),9,31,9,1,577,6,0,4,5,1,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,1,0,3,0,0
Speed limit (80km/h),0,4,39,3,1,561,0,16,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End of speed limit (80km/h),0,0,0,0,0,9,104,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,18
Speed limit (100km/h),0,2,2,0,3,12,0,372,52,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Speed limit (120km/h),2,4,5,1,8,6,0,6,414,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
No passing,0,0,0,9,0,0,0,0,0,463,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No passing for vehicles over 3.5 metric tons,0,0,0,0,0,11,0,2,0,1,636,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1
Right-of-way at the next intersection,0,0,0,0,0,0,1,0,0,0,0,381,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,12,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0
Priority road,0,0,0,0,0,0,0,0,0,0,1,4,646,1,0,8,0,0,0,0,1,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,5,0,9,0,2,5,0
Yield,0,0,0,2,0,0,0,1,1,0,0,1,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0
Stop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No vehicles,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,204,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicles over 3.5 metric tons prohibited,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No entry,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,351,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General caution,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,324,0,2,2,0,0,15,6,13,7,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Dangerous curve to the left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Dangerous curve to the right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,2,0,0,0,0,11,0,0,7,0,0,1,0,0,0,0,0,0,0,0
